Protein_ID,Tm
P61500_recA,72.06
P62662_rpsB,72.216
Q746P0_TT_P0013,72.228
Q746N8_cbiX,72.234
Q72H90_soj,72.258
Q72JA0_minD,72.273
Q72L65_hflX,72.276
Q72L52_TT_C0211,72.283
Q72JN6_TT_C0734,72.316
Q72I41_TT_C1291,72.328
Q72JQ4_TT_C0714,72.33
Q72JG1_rimO,72.356
Q72KY6_TT_C0279,72.378
Q72LK3_TT_C0056,72.379
Q72LH6_livF,72.441
Q72HC1_rlmN,72.512
Q72IH8_TT_C1154,72.547
Q72IZ8_TT_C0983,72.562
Q72I16_rplE,72.567
Q72KA4_TT_C0543,72.621
Q72LA0_TT_C0159,72.623
Q72J11_livF,72.658
P61537_ruvB,72.665
Q72L33_TT_C0230,72.691
Q72J12_livG,72.734
Q72GG8_TT_C1880,72.752
Q72IJ8_TT_C1134,72.86
Q72J51_ftsE,72.886
Q72J39_miaB,72.972
Q72KZ4_TT_C0271,73.132
Q72I11_rplP,73.157
Q72GI4_dcd,73.294
Q72I12_rpmC,73.338
Q72KT1_TT_C0411,73.343
Q72L15_clpP,73.347
Q72HM2_mreB,73.349
Q72IY3_TT_C0998,73.418
Q72HV0_plsX,73.469
Q72KC1_TT_C0526,73.486
Q72L74_plsY,73.558
Q72K96_TT_C0551,73.624
Q72I53_metK,73.648
Q72IN7_TT_C1095,73.667
Q72GJ7_phoU,73.693
Q72I54_TT_C1278,73.702
Q72JC6_TT_C0852,73.707
Q72K93_rnr,73.717
P62657_rpsO,73.801
Q72JC7_TT_C0851,73.932
P62668_rpsH,74.105
Q72LF7_appF,74.211
Q72KN4_TT_C0377,74.219
Q72JH7_TT_C0795,74.223
Q72HQ8_TT_C1428,74.253
Q72J58_TT_C0921,74.333
P61989_cbiD,74.514
Q746D0_TT_P0125,74.57
Q72IW1_aroB,74.594
Q72IH2_glyA,74.619
Q72JU9_rplS,74.62
Q72G84_rpmB,74.63
Q72GX1_mnmA,74.642
Q746A1_TT_P0154,74.656
Q72KB4_mfd,74.665
Q72JZ8_nadA,74.775
Q72H76_purM,74.781
Q72I07_rplB,74.798
